Brand_ID,Brand_Name,Generic_ID,Strength,Dosage_Form,Company_ID,Country,CDSCO_Status,Jan_Aushadhi_Available,Status,Last_Updated
BR000481,Brand 481,GEN000074,,,,India,,,Active,
BR000482,Brand 482,GEN000075,,,,India,,,Active,
BR000483,Brand 483,GEN000076,,,,India,,,Active,
BR000484,Brand 484,GEN000077,,,,India,,,Active,
BR000485,Brand 485,GEN000078,,,,India,,,Active,
BR000486,Brand 486,GEN000079,,,,India,,,Active,
BR000487,Brand 487,GEN000080,,,,India,,,Active,
BR000488,Brand 488,GEN000081,,,,India,,,Active,
BR000489,Brand 489,GEN000082,,,,India,,,Active,
BR000490,Brand 490,GEN000083,,,,India,,,Active,
BR000491,Brand 491,GEN000084,,,,India,,,Active,
BR000492,Brand 492,GEN000085,,,,India,,,Active,
BR000493,Brand 493,GEN000086,,,,India,,,Active,
BR000494,Brand 494,GEN000087,,,,India,,,Active,
BR000495,Brand 495,GEN000088,,,,India,,,Active,
BR000496,Brand 496,GEN000089,,,,India,,,Active,
BR000497,Brand 497,GEN000090,,,,India,,,Active,
BR000498,Brand 498,GEN000091,,,,India,,,Active,
BR000499,Brand 499,GEN000092,,,,India,,,Active,
BR000500,Brand 500,GEN000093,,,,India,,,Active,
